64
0,1,35,60, 35, 150,255,0,  0,  255,50,
0,1,25,60, 50, 200,0,  0,  255,255,45,
1,1,15,90, 100,40, 0,  255,0,  255,32,
2,0,40,100,35, 100,255,255,0,  255,42,200,150,
0,2,31,45, 100, 250,255,0,  255,255,60,
0,2,31,45, 150, 250,255,0,  255,255,72,
0,2,31,45, 90, 250,255,0,  255,255,80,
0,2,31,45, 40, 250,255,0,  255,255,50,
0,1,35,60, 35, 150,255,0,  0,  255,50,
0,1,25,60, 50, 200,0,  0,  255,255,45,
1,1,15,90, 100,40, 0,  255,0,  255,32,
2,0,40,100,35, 100,255,255,0,  255,42,200,150,
0,2,31,45, 100, 250,255,0,  255,255,60,
0,2,31,45, 150, 250,255,0,  255,255,72,
0,2,31,45, 90, 250,255,0,  255,255,80,
0,2,31,45, 40, 250,255,0,  255,255,50,
0,1,35,60, 35, 150,255,0,  0,  255,50,
0,1,25,60, 50, 200,0,  0,  255,255,45,
1,1,15,90, 100,40, 0,  255,0,  255,32,
2,0,40,100,35, 100,255,255,0,  255,42,200,150,
0,2,31,45, 100, 250,255,0,  255,255,60,
0,2,31,45, 150, 250,255,0,  255,255,72,
0,2,31,45, 90, 250,255,0,  255,255,80,
0,2,31,45, 40, 250,255,0,  255,255,50,
0,1,35,60, 35, 150,255,0,  0,  255,50,
0,1,25,60, 50, 200,0,  0,  255,255,45,
1,1,15,90, 100,40, 0,  255,0,  255,32,
2,0,40,100,35, 100,255,255,0,  255,42,200,150,
0,2,31,45, 100, 250,255,0,  255,255,60,
0,2,31,45, 150, 250,255,0,  255,255,72,
0,2,31,45, 90, 250,255,0,  255,255,80,
0,2,31,45, 40, 250,255,0,  255,255,50,
0,1,35,60, 35, 150,255,0,  0,  255,50,
0,1,25,60, 50, 200,0,  0,  255,255,45,
1,1,15,90, 100,40, 0,  255,0,  255,32,
2,0,40,100,35, 100,255,255,0,  255,42,200,150,
0,2,31,45, 100, 250,255,0,  255,255,60,
0,2,31,45, 150, 250,255,0,  255,255,72,
0,2,31,45, 90, 250,255,0,  255,255,80,
0,2,31,45, 40, 250,255,0,  255,255,50,
0,1,35,60, 35, 150,255,0,  0,  255,50,
0,1,25,60, 50, 200,0,  0,  255,255,45,
1,1,15,90, 100,40, 0,  255,0,  255,32,
2,0,40,100,35, 100,255,255,0,  255,42,200,150,
0,2,31,45, 100, 250,255,0,  255,255,60,
0,2,31,45, 150, 250,255,0,  255,255,72,
0,2,31,45, 90, 250,255,0,  255,255,80,
0,2,31,45, 40, 250,255,0,  255,255,50,
0,1,35,60, 35, 150,255,0,  0,  255,50,
0,1,25,60, 50, 200,0,  0,  255,255,45,
1,1,15,90, 100,40, 0,  255,0,  255,32,
2,0,40,100,35, 100,255,255,0,  255,42,200,150,
0,2,31,45, 100, 250,255,0,  255,255,60,
0,2,31,45, 150, 250,255,0,  255,255,72,
0,2,31,45, 90, 250,255,0,  255,255,80,
0,2,31,45, 40, 250,255,0,  255,255,50,
0,1,35,60, 35, 150,255,0,  0,  255,50,
0,1,25,60, 50, 200,0,  0,  255,255,45,
1,1,15,90, 100,40, 0,  255,0,  255,32,
2,0,40,100,35, 100,255,255,0,  255,42,200,150,
0,2,31,45, 100, 250,255,0,  255,255,60,
0,2,31,45, 150, 250,255,0,  255,255,72,
0,2,31,45, 90, 250,255,0,  255,255,80,
0,2,31,45, 40, 250,255,0,  255,255,50,
